name,path
OrderPlacedEvent,feature-libs/checkout/root/events/checkout.events.ts
UserAccountEvent,feature-libs/user/account/root/events/user-account.events.ts
UserAccountChangedEvent,feature-libs/user/account/root/events/user-account.events.ts
CartEvent,projects/core/src/cart/event/cart.events.ts
CartAddEntryEvent,projects/core/src/cart/event/cart.events.ts
CartAddEntrySuccessEvent,projects/core/src/cart/event/cart.events.ts
CartAddEntryFailEvent,projects/core/src/cart/event/cart.events.ts
CartRemoveEntryFailEvent,projects/core/src/cart/event/cart.events.ts
CartRemoveEntrySuccessEvent,projects/core/src/cart/event/cart.events.ts
CartUpdateEntrySuccessEvent,projects/core/src/cart/event/cart.events.ts
CartUpdateEntryFailEvent,projects/core/src/cart/event/cart.events.ts
ModuleInitializedEvent,projects/core/src/lazy-loading/events/module-initialized-event.ts
FacetChangedEvent,projects/core/src/product/event/product.events.ts
LanguageSetEvent,projects/core/src/site-context/events/site-context.events.ts
CurrencySetEvent,projects/core/src/site-context/events/site-context.events.ts
UserAddressEvent,projects/core/src/user/events/user.events.ts
UpdateUserAddressEvent,projects/core/src/user/events/user.events.ts
DeleteUserAddressEvent,projects/core/src/user/events/user.events.ts
AddUserAddressEvent,projects/core/src/user/events/user.events.ts
CartPageEvent,projects/storefrontlib/src/events/cart/cart-page.events.ts
HomePageEvent,projects/storefrontlib/src/events/home/home-page.events.ts
NavigationEvent,projects/storefrontlib/src/events/navigation/navigation.event.ts
PageEvent,projects/storefrontlib/src/events/page/page.events.ts
ProductDetailsPageEvent,projects/storefrontlib/src/events/product/product-page.events.ts
CategoryPageResultsEvent,projects/storefrontlib/src/events/product/product-page.events.ts
SearchPageResultsEvent,projects/storefrontlib/src/events/product/product-page.events.ts
LogoutEvent,projects/core/src/auth/user-auth/events/user-auth.events.ts
LoginEvent,projects/core/src/auth/user-auth/events/user-auth.events.ts
SearchBoxSuggestionSelectedEvent,projects/storefrontlib/src/cms-components/navigation/search-box/search-box.events.ts
SearchBoxProductSelectedEvent,projects/storefrontlib/src/cms-components/navigation/search-box/search-box.events.ts
ComponentEvent,projects/storefrontlib/src/cms-structure/page/component/events/component.event.ts
ComponentCreateEvent,projects/storefrontlib/src/cms-structure/page/component/events/component.event.ts
ComponentDestroyEvent,projects/storefrontlib/src/cms-structure/page/component/events/component.event.ts
